District,Location,Sublocation,Male,Female,Total,Households,Area in Sq. Km.,Population Density,Division,Province
POKOT NORTH,KIWAWA,CHELOPOY,3013,3031,6044,1155,59.98,100.77,ALALE,RIFT VALLEY
WEST POKOT,MISKWONY,CHEMAKEU,770,864,1634,355,69.23,23.6,KONGELAI,RIFT VALLEY
BURET,KIMULOT,CHEMALAL,1482,1464,2946,551,5.42,543.17,KIMULOT,RIFT VALLEY
NAKURU,MAJI TAMU,CHEMAMIS,1352,1470,2822,545,23.51,120.01,SOLAI,RIFT VALLEY
TRANS MARA,KAPSASIAN,CHEMAMIT,2426,2549,4975,804,13.2,377.02,EMURUA DIKIRR,RIFT VALLEY
TRANS MARA,EMURUA DIKIRR,CHEMAMIT,6415,6655,13070,2369,38.67,337.95,EMURUA DIKIRR,RIFT VALLEY
TINDERET,CHEMAMUL,CHEMAMUL,1302,1143,2445,667,23.35,104.73,TINDERET,RIFT VALLEY
KERICHO,CHEMAMUL,CHEMAMUL,1328,1324,2652,517,4.74,559.98,KABIANGA,RIFT VALLEY
MOLO,CHEMANER,CHEMANER,1312,1403,2715,541,14.06,193.03,KERINGET,RIFT VALLEY
BOMET,CHEMANER,CHEMANER,1366,1473,2839,520,8.46,335.71,LONGISA,RIFT VALLEY
MOLO,KIPTORO,CHEMARE,6858,6753,13611,2789,101.24,134.44,KURESOI,RIFT VALLEY
KIPKELION,SUBUKIA,CHEMARE,926,909,1835,419,13.6,134.92,LONDIANI,RIFT VALLEY
NANDI EAST,KAPSIMATWO,CHEMATICH,1139,1016,2155,429,11.18,192.68,NANDI HILLS,RIFT VALLEY
MOLO,KIPTORO,CHEMATICH,2694,2700,5394,1150,26.2,205.84,KURESOI,RIFT VALLEY
MALINDI,WATAMU,CHEMBE KIBABAMCHE,2165,2166,4331,590,23.28,186.02,MALINDI,COAST
MT. ELGON,KAPSOKWONY,CHEMEISUS,2008,2068,4076,762,6.4,636.87,KAPSOKWONY,WESTERN
BURET,CHEMELET,CHEMELET,1401,1427,2828,504,5.41,523.02,KONOIN,RIFT VALLEY
NYANDO,CHEMELIL,CHEMELIL,3528,2870,6398,1765,11.62,550.51,MUHORONI,NYANZA
NANDI EAST,CHEMILIL,CHEMILIL,1265,1127,2392,518,23.31,102.61,NANDI HILLS,RIFT VALLEY
NANDI NORTH,LOLKERINGET,CHEMNOET,953,962,1915,375,4.9,390.74,KABIYET,RIFT VALLEY
MT. ELGON,CHEMOGE,CHEMOGE,1447,1522,2969,525,6.51,455.98,KAPTAMA,WESTERN
KOIBATEK,LEMBUS-MOGOTO,CHEMOGOCH,1037,980,2017,380,31.72,63.59,MOGOTIO,RIFT VALLEY
KIPKELION,KUNYAK,CHEMOGOCH,1085,1121,2206,431,10.07,218.99,KUNYAK,RIFT VALLEY
BURET,CHEMOIBEN,CHEMOIBEN,1033,1089,2122,393,4.72,449.85,BURET,RIFT VALLEY
EAST POKOT,TANGULBEI,CHEMOIGUT,1097,1173,2270,459,160.94,14.1,TANGULBEI,RIFT VALLEY
KOIBATEK,KIMOSE,CHEMOINOI,583,613,1196,248,65.93,18.14,EMINING,RIFT VALLEY
BURET,KABARTEGAN,CHEMOIYWA,692,689,1381,288,2.21,625.65,RORET,RIFT VALLEY
NANDI EAST,CHEMOMI,CHEMOMI,1147,1124,2271,566,7.61,298.55,NANDI HILLS,RIFT VALLEY
MT. ELGON,CHESIKAK,CHEMONDI,2372,2387,4759,850,7.46,637.77,CHEPTAIS,WESTERN
BURET,SAOSA,CHEMOSIT,3296,2386,5682,2325,37.57,151.23,KIMULOT,RIFT VALLEY
MARAKWET,LELAN,CHEMOSONG,791,845,1636,295,26.1,62.69,KAPCHEROP,RIFT VALLEY
BURET,CHEMOSOT,CHEMOSOT,1424,1450,2874,608,3.45,834.06,RORET,RIFT VALLEY
MARAKWET,KUSERWO,CHEMUNADA,1168,1207,2375,443,12.56,189.1,CHEBIEMIT,RIFT VALLEY
EAST POKOT,LORUK,CHEMURO,341,358,699,125,46.74,14.95,MONDI,RIFT VALLEY
NANDI SOUTH,CHEMASE,CHEMURSOI,549,523,1072,217,10.1,106.15,ALDAI,RIFT VALLEY
MT. ELGON,CHEMOGE,CHEMUSES,1585,1576,3161,579,6.43,491.24,KAPTAMA,WESTERN
WEST POKOT,KAPKORIS,CHEMWOCHOI,2432,2543,4975,923,9.67,514.47,KAPENGURIA,RIFT VALLEY
MARAKWET,SAMBIRIR,CHEMWOROR,1337,1470,2807,579,4.42,635.56,TIRAP,RIFT VALLEY
KINANGO,CHENGONI,CHENGONI,2585,3012,5597,778,105.21,53.2,SAMBURU,COAST
MOLO,KAPLAMAI,CHEPAKUNDI,2679,2599,5278,995,23.96,220.31,OLENGURUONE,RIFT VALLEY
MOLO,CHEMANER,CHEPALUNGU,1959,1915,3874,799,23.97,161.6,KERINGET,RIFT VALLEY
WEST POKOT,KIPKOMO,CHEPARERIA,2336,2411,4747,953,13.65,347.69,CHEPARERIA,RIFT VALLEY
POKOT CENTRAL,KAPTABUK,CHEPARTEN,1499,1585,3084,519,28.76,107.24,LELAN,RIFT VALLEY
BURET,SAOSA,CHEPCHABAS,8167,5912,14079,4866,101.66,138.5,KIMULOT,RIFT VALLEY
KIPKELION,KAPSEGER,CHEPCHOLIET,1622,1632,3254,631,20.77,156.65,CHEPSEON,RIFT VALLEY
EAST POKOT,LOIWAT,CHEPELLION,748,773,1521,292,94.22,16.14,KOLLOWA,RIFT VALLEY
EAST POKOT,CHURO,CHEPELOW,682,693,1375,233,17.79,77.31,CHURO,RIFT VALLEY
WARENG,KAPSERET,CHEPKATET,4696,4429,9125,2068,57.6,158.42,KAPSERET,RIFT VALLEY
NANDI NORTH,SIGOT,CHEPKATET,390,389,779,144,4.68,166.33,KOSIRAI,RIFT VALLEY
KIPKELION,KIPTERIS,CHEPKECHEI,1874,1873,3747,689,8.7,430.66,CHILCHILA,RIFT VALLEY
